#,Symbol,Last Trade,Change,% Change,Description,P/E (ttm),Dividend Yield,Notes, 
83,SPWR,4.18,-0.085,-1.99,Sunpower Corp,,--,, 
133,SPY,500.03,+1.46,+0.29,Spdr S&P 500 Etf,6.60,1.33,, 
19,SQ,69.19,+1.78,+2.64,Block Inc,,--,, 
110,SQM,41.69,+1.29,+3.19,Sociedad Quimica Y Min F,3.82,12.04,(Notes), 
54,STZ,243.45,-0.155,-0.06,Constellation Brand Cl A,30.10,1.46,, 
53,SWK,89.09,+0.435,+0.49,Stanley Black & Deck,,3.64,, 
13,SWKS,106.38,+0.55,+0.52,Skyworks Solutions,18.33,2.56,, 
97,SYK,347.26,-2.16,-0.62,Stryker Corp,41.34,0.92,, 
61,TGT,146.30,+1.27,+0.88,Target Corp,19.03,3.01,, 
15,TMO,547.42,-0.85,-0.16,Thermo Fisher Scntfc,34.86,0.26,, 
41,TNK,58.25,+0.57,+0.99,Teekay Tankers Ltd.    F,3.66,1.72,, 
3,TSLA,194.11,+5.3999,+2.86,Tesla Inc,43.75,--,(Notes), 
129,TSM,128.96,-0.31,-0.24,Taiwan Semiconductr    F,19.98,1.50,, 
24,TWLO,61.55,-10.72,-14.83,Twilio Inc,,--,(Notes), 
77,TXN,160.31,+2.435,+1.54,Texas Instruments,22.78,3.24,, 
69,UPS,145.53,+1.31,+0.91,United Parcel Srvc Cl B,18.90,4.48,, 
21,V,280.17,+2.61,+0.94,Visa Inc Cl A,31.67,0.74,, 
91,WDAY,303.44,+1.195,+0.40,Workday Inc Cl A,,--,, 
46,WFC,51.13,+2.60,+5.36,Wells Fargo & Co,10.13,2.74,, 
36,WHR,110.57,+1.76,+1.62,Whirlpool Corp,12.86,6.33,, 
16,ZBRA,282.88,+29.92,+11.83,Zebra Technologies Cl A,27.38,--,, 
